p1	p2	MoI	P(lyso)
p1=0.2	p2=0.2	0.01	0.03
p1=0.2	p2=0.2	0.02	0.02
p1=0.2	p2=0.2	0.03	0.06
p1=0.2	p2=0.2	0.04	0.04
p1=0.2	p2=0.2	0.05	0.01
p1=0.2	p2=0.2	0.06	0.03
p1=0.2	p2=0.2	0.07	0.01
p1=0.2	p2=0.2	0.08	0.04
p1=0.2	p2=0.2	0.09	0.01
p1=0.2	p2=0.2	0.1	0.02
p1=0.2	p2=0.2	0.11	0.03
p1=0.2	p2=0.2	0.12	0.02
p1=0.2	p2=0.2	0.13	0.03
p1=0.2	p2=0.2	0.14	0.03
p1=0.2	p2=0.2	0.15	0.08
p1=0.2	p2=0.2	0.16	0.03
p1=0.2	p2=0.2	0.17	0.04
p1=0.2	p2=0.2	0.18	0.04
p1=0.2	p2=0.2	0.19	0.02
p1=0.2	p2=0.2	0.2	0.05
p1=0.2	p2=0.2	0.21	0.01
p1=0.2	p2=0.2	0.22	0.03
p1=0.2	p2=0.2	0.23	0.04
p1=0.2	p2=0.2	0.24	0.01
p1=0.2	p2=0.2	0.25	0.01
p1=0.2	p2=0.2	0.26	0.03
p1=0.2	p2=0.2	0.27	0.01
p1=0.2	p2=0.2	0.28	0.01
p1=0.2	p2=0.2	0.29	0.04
p1=0.2	p2=0.2	0.3	0.04
p1=0.2	p2=0.2	0.31	0.01
p1=0.2	p2=0.2	0.32	0.02
p1=0.2	p2=0.2	0.33	0.02
p1=0.2	p2=0.2	0.34	0.01
p1=0.2	p2=0.2	0.35	0.11
p1=0.2	p2=0.2	0.36	0.02
p1=0.2	p2=0.2	0.37	0.01
p1=0.2	p2=0.2	0.38	0.07
p1=0.2	p2=0.2	0.39	0.04
p1=0.2	p2=0.2	0.4	0.02
p1=0.2	p2=0.2	0.41	0.01
p1=0.2	p2=0.2	0.42	0.02
p1=0.2	p2=0.2	0.43	0.01
p1=0.2	p2=0.2	0.44	0.05
p1=0.2	p2=0.2	0.45	0.01
p1=0.2	p2=0.2	0.46	0.05
p1=0.2	p2=0.2	0.47	0.01
p1=0.2	p2=0.2	0.48	0.03
p1=0.2	p2=0.2	0.49	0.11
p1=0.2	p2=0.2	0.5	0.02
p1=0.2	p2=0.2	0.51	0.03
p1=0.2	p2=0.2	0.52	0.02
p1=0.2	p2=0.2	0.53	0.07
p1=0.2	p2=0.2	0.54	0.03
p1=0.2	p2=0.2	0.55	0.03
p1=0.2	p2=0.2	0.56	0.06
p1=0.2	p2=0.2	0.57	0.07
p1=0.2	p2=0.2	0.58	0.04
p1=0.2	p2=0.2	0.59	0.13
p1=0.2	p2=0.2	0.6	0.19
p1=0.2	p2=0.2	0.61	0.14
p1=0.2	p2=0.2	0.62	0.14
p1=0.2	p2=0.2	0.63	0.18
p1=0.2	p2=0.2	0.64	0.26
p1=0.2	p2=0.2	0.65	0.16
p1=0.2	p2=0.2	0.66	0.24
p1=0.2	p2=0.2	0.67	0.27
p1=0.2	p2=0.2	0.68	0.34
p1=0.2	p2=0.2	0.69	0.33
p1=0.2	p2=0.2	0.7	0.38
p1=0.2	p2=0.2	0.71	0.32
p1=0.2	p2=0.2	0.72	0.36
p1=0.2	p2=0.2	0.73	0.38
p1=0.2	p2=0.2	0.74	0.4
p1=0.2	p2=0.2	0.75	0.44
p1=0.2	p2=0.2	0.76	0.38
p1=0.2	p2=0.2	0.77	0.41
p1=0.2	p2=0.2	0.78	0.46
p1=0.2	p2=0.2	0.79	0.46
p1=0.2	p2=0.2	0.8	0.5
p1=0.2	p2=0.2	0.81	0.47
p1=0.2	p2=0.2	0.82	0.5
p1=0.2	p2=0.2	0.83	0.51
p1=0.2	p2=0.2	0.84	0.57
p1=0.2	p2=0.2	0.85	0.55
p1=0.2	p2=0.2	0.86	0.56
p1=0.2	p2=0.2	0.87	0.6
p1=0.2	p2=0.2	0.88	0.56
p1=0.2	p2=0.2	0.89	0.57
p1=0.2	p2=0.2	0.9	0.64
p1=0.2	p2=0.2	0.91	0.59
p1=0.2	p2=0.2	0.92	0.67
p1=0.2	p2=0.2	0.93	0.66
p1=0.2	p2=0.2	0.94	0.63
p1=0.2	p2=0.2	0.95	0.67
p1=0.2	p2=0.2	0.96	0.63
p1=0.2	p2=0.2	0.97	0.68
p1=0.2	p2=0.2	0.98	0.66
p1=0.2	p2=0.2	0.99	0.69
p1=0.2	p2=0.2	1.0	0.69
p1=0.2	p2=0.4	0.01	0.02
p1=0.2	p2=0.4	0.02	0.1
p1=0.2	p2=0.4	0.03	0.03
p1=0.2	p2=0.4	0.04	0.01
p1=0.2	p2=0.4	0.05	0.03
p1=0.2	p2=0.4	0.06	0.03
p1=0.2	p2=0.4	0.07	0.03
p1=0.2	p2=0.4	0.08	0.01
p1=0.2	p2=0.4	0.09	0.04
p1=0.2	p2=0.4	0.1	0.02
p1=0.2	p2=0.4	0.11	0.08
p1=0.2	p2=0.4	0.12	0.03
p1=0.2	p2=0.4	0.13	0.03
p1=0.2	p2=0.4	0.14	0.06
p1=0.2	p2=0.4	0.15	0.02
p1=0.2	p2=0.4	0.16	0.01
p1=0.2	p2=0.4	0.17	0.05
p1=0.2	p2=0.4	0.18	0.02
p1=0.2	p2=0.4	0.19	0.01
p1=0.2	p2=0.4	0.2	0.07
p1=0.2	p2=0.4	0.21	0.01
p1=0.2	p2=0.4	0.22	0.04
p1=0.2	p2=0.4	0.23	0.03
p1=0.2	p2=0.4	0.24	0.01
p1=0.2	p2=0.4	0.25	0.07
p1=0.2	p2=0.4	0.26	0.02
p1=0.2	p2=0.4	0.27	0.01
p1=0.2	p2=0.4	0.28	0.02
p1=0.2	p2=0.4	0.29	0.04
p1=0.2	p2=0.4	0.3	0.04
p1=0.2	p2=0.4	0.31	0.02
p1=0.2	p2=0.4	0.32	0.09
p1=0.2	p2=0.4	0.33	0.11
p1=0.2	p2=0.4	0.34	0.08
p1=0.2	p2=0.4	0.35	0.05
